question,document
"Does homework count for the certificate, or is it only for the leaderboard?",cdc3b285e5
Will the name I enter for the certificate be visible online or given to other people?,651ba06b34
"If I put my real name on the certificate field, does that show up on the leaderboard too?",651ba06b34
What’s the difference between the public display name and the certificate name in my course profile?,651ba06b34
Can I keep my real name private on the leaderboard but still have it on the certificate?,651ba06b34
Where do I change the nickname shown publicly and the name printed on the certificate?,651ba06b34
Why doesn't this course use LangChain from the start?,b7cdde6b25
What do we learn by building the RAG pieces ourselves instead of using a framework?,b7cdde6b25
Is LangChain something I should learn after understanding prompting and retrieval?,b7cdde6b25
Why do we need to implement indexing and evaluation manually before using tools like LangChain?,b7cdde6b25
"What's the idea behind learning the basics first, like HTML/CSS/JavaScript before React or Angular?",b7cdde6b25
Why do I get an OpenAI API error saying I have insufficient credits when I run `responses.create`?,f5df151c59
"What does the ""Insufficient credits"" message mean in OpenAI when using `responses.create`?",f5df151c59
How can I fix the error that shows up with `responses.create` because of low OpenAI credits?,f5df151c59
Is the `OpenAI API Error: Insufficient credits` problem caused by my account balance?,f5df151c59
Why does the OpenAI `responses.create` command fail even though my code looks correct?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
What does 'insufficient_quota' mean in the OpenAI API error message?,152af39a53
Do I need to add money to my OpenAI account before using the API for this course?,152af39a53
"After topping up my OpenAI billing, do I need to make a new API key?",152af39a53
How can I check which OpenAI models are actually available to my account in responses.create()?,152af39a53
How much money do I need to start using the OpenAI API for this course?,554d0eb78b
Will I end up spending a lot if I use the OpenAI API in the course projects?,554d0eb78b
What’s the minimum top-up amount to try the OpenAI API?,554d0eb78b
Is it true that OpenAI API usage for the course is usually just a tiny cost?,554d0eb78b
How expensive is it to use the OpenAI API in Module 1 RAG?,554d0eb78b
"Do I really need to pay for the OpenAI API to finish the LLM Zoomcamp homework, or can I use something free instead?",85384a18e5
"For this course, is an OpenAI subscription required, or are there cheaper alternatives I can use from the GitHub repo?",85384a18e5
Can I complete the Module 1 RAG assignments without buying OpenAI API access?,85384a18e5
Where can I find the list of OpenAI API alternatives for the course if I don't want to pay?,85384a18e5
Is it okay to skip OpenAI and use a low-cost or free LLM provider for the homework?,85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,f81dea8f7e
What makes uv better or easier to use than the usual Python tools?,f81dea8f7e
"Do I have to use uv in this course, or can I stick with pip and virtualenv?",f81dea8f7e
What Python stuff can uv handle in one place instead of using separate tools?,f81dea8f7e
Why do the lessons recommend uv if the older tools still work fine?,f81dea8f7e
Why does my notebook say OPENAI_API_KEY is missing even though I set it in .env?,86d99bbf21
Do I need python-dotenv for the OpenAI key to show up in Jupyter?,86d99bbf21
What should I run in the notebook before creating the OpenAI client so it reads my .env file?,86d99bbf21
Could the API key issue be because the env variable name is wrong in my .env file?,86d99bbf21
How do I make sure Jupyter can see my OPENAI_API_KEY from the .env file?,86d99bbf21
How do I keep my API keys in a .env file instead of hardcoding them in Python?,233dabe430
What’s the easiest way to load OPENAI_API_KEY and GROQ_API_KEY from environment variables in a notebook or script?,233dabe430
Do I need to add .env to .gitignore when storing secrets for the course project?,233dabe430
How do I use python-dotenv to read keys from a .env file into os.getenv()?,233dabe430
"What’s the recommended setup for saving API credentials like OPENAI_API_KEY, GROQ_API_KEY, and GEMINI_API_KEY locally?",233dabe430
"Can I swap the homework model for another API or local model, or do I have to use the recommended one?",ee43413718
"Is the suggested provider in the assignment required, or can I use something like Gemini, Groq, OpenRouter, or Azure OpenAI instead?",ee43413718
"If I don't want to pay for a model, can I still finish the homework with a free or local option?",ee43413718
Will I need to change my code if I use a different LLM provider than the one in the course instructions?,ee43413718
Where can I find a list of OpenAI-like alternatives that work for this homework?,ee43413718
How do I wire up Gemini in the Module 1 notebook using the OpenAI-compatible API?,0ae5c221b9
What do I need in my .env and client setup before I can call a Gemini model from the course notebook?,0ae5c221b9
"Can I use a Google Gemini model name directly with the OpenAI client in the RAG notebook, and how?",0ae5c221b9
Why does the notebook code need changes when I switch from Responses to chat completions for Gemini?,0ae5c221b9
What parts of the Module 1 notebook break or need edits when using Gemini through the OpenAI-style endpoint?,0ae5c221b9
How do I get a Pydantic result from Gemini through the OpenAI-compatible endpoint if `responses.parse` is not supported?,341f71f28c
What should I use instead of the newer Responses API when I want Gemini to return structured output with the OpenAI SDK?,341f71f28c
Can you show how to define a `Questions` Pydantic model and parse it with `chat.completions.parse`?,341f71f28c
How do I call Gemini with `client.chat.completions.parse` and get `message.parsed` without doing JSON parsing myself?,341f71f28c
Why does the OpenAI SDK chat-completions parsing flow work for Gemini on Google's OpenAI-compatible base URL?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the easiest way to get Ollama running locally after the install?,1d0b969028
How can I check if the Ollama server is actually responding on my machine?,1d0b969028
Do I need to install anything else to use Ollama from Python?,1d0b969028
What does a basic Python script with Ollama look like for chatting with llama3?,1d0b969028
"Why do I get a connection refused error when I try to prompt my Ollama RAG notebook, and how do I fix it?",c6fc2d4d11
"If Ollama stops working during the homework, what command should I run to bring the server back up?",c6fc2d4d11
"Do I need to rerun the cell with ollama serve after restarting the notebook, or is one restart enough?",c6fc2d4d11
What's the easiest way to restart the Ollama server when my RAG setup shows a refused connection?,c6fc2d4d11
My Ollama prompt is failing with connection refused in the homework—what should I check and run again?,c6fc2d4d11
Why do I get a different token count from `tiktoken.encode()` than what OpenAI shows in the API usage?,bf0403d21b
"In chat completions, what extra tokens does OpenAI add besides the words I actually send?",bf0403d21b
"If my prompt is 320 tokens locally, why might the API say 327 tokens instead?",bf0403d21b
"Does each `{role, content}` message in `chat.completions.create()` add hidden tokens to the total?",bf0403d21b
"Can whitespace, new lines, or weird Unicode characters make OpenAI count more tokens than my own tokenizer does?",bf0403d21b
How can I stop re-exporting my API key every time I open a new terminal or folder?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc and not just one of them?,8b2f5e9d04
What’s the easiest way to auto-load OPENAI_API_KEY when I cd into a project on Linux or Mac?,8b2f5e9d04
"If I’m using GitHub Codespaces, should I still put my secrets in a .env file or use something else?",8b2f5e9d04
How do I load a .env file automatically in a Python script without setting variables by hand?,8b2f5e9d04
What's the best way to pick field weights in minsearch or a similar search setup?,87d4ea4e08
"Should I just tune search field weights by trial and error, or is there a better method?",87d4ea4e08
How can I decide which weights to use for different fields when building search retrieval?,87d4ea4e08
"Do I need a labeled dataset to choose the right field weights for search, and if so how do I use it?",87d4ea4e08
What metrics should I look at when testing different field weights for a search engine?,87d4ea4e08
What’s the best way to clean docs before using them in RAG?,649c280e6d
"When I prepare data for retrieval, what should I remove and what should I keep?",649c280e6d
"Do I need to put my source files into JSON for RAG, or is that optional?",649c280e6d
How do I chunk documents so the important context doesn’t get lost?,649c280e6d
What kind of metadata is worth keeping to help retrieval or ranking later?,649c280e6d
"Is the ""Failed to hardlink files"" message from uv in GitHub Codespaces something I should worry about?",acf8fa5356
"Why does uv show a hardlink warning in Codespaces, and does the install still work?",acf8fa5356
How can I stop uv from complaining about hardlinking in my Codespaces shell?,acf8fa5356
What command do I need to set so uv uses copy mode instead of hardlinks?,acf8fa5356
How do I make the uv link-mode change stay after I restart the terminal?,acf8fa5356
"My `.env` file is there, but `dotenv` keeps saying it's not recognized. What package do I need to install for that?",0bed1f48da
Do I need to add something with `uv` before I can use `load_dotenv()` in Python?,0bed1f48da
What’s the correct install command for `python-dotenv` in this course setup?,0bed1f48da
"After installing the dotenv package, how do I import it and load environment variables in code?",0bed1f48da
I keep getting a dotenv error in Module 1 RAG — which library should I use and how do I call it?,0bed1f48da
Can I do the RAG module on my own machine instead of using Codespaces?,aa310de435
"If I skip Codespaces, what tools do I need to install locally first?",aa310de435
Is it okay to use a local setup for the course as long as I can reproduce it?,aa310de435
Why do you recommend Codespaces if I already have Python and Docker on my laptop?,aa310de435
"Do I have to match the course environment exactly, or can I just run everything from my own setup?",aa310de435
"If I don’t commit my work in Codespaces, is the code still saved anywhere on the VM?",610ccb23c0
Can I rely on Codespaces to keep my changes forever if I just leave them there?,610ccb23c0
Why do we need to commit regularly in Codespaces if the files are already on the Linux VM?,610ccb23c0
"What could happen to my work in Codespaces if the environment stops, disconnects, or gets deleted?",610ccb23c0
Is committing the only way to make sure my Codespaces code is safely stored in my GitHub repo?,610ccb23c0
Why does WSL2 say the model needs more system memory even though my PC has enough RAM?,f3dd94f323
How can I give WSL2 more RAM on Windows so the model can run?,f3dd94f323
Where should I put the `.wslconfig` file and what should I write in it?,f3dd94f323
"Do I need to restart WSL after changing the memory limit, and how do I check it worked?",f3dd94f323
What's the easiest way to verify how much memory WSL2 is actually using?,f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never connects — what should I try first?",830f3d2018
"If Codespaces won’t open in VS Code desktop, is there a browser workaround or should I switch browsers?",830f3d2018
What should I do when it looks like my Codespace setup disappeared after a rebuild or new instance?,830f3d2018
"Do files in /workspaces and my uncommitted changes survive a stop/start, or can they be lost?",830f3d2018
"If Codespaces keeps acting weird, is it okay to run the course locally instead?",830f3d2018
"Can I swap OpenAI for another LLM provider in this RAG module, or is the course code locked to OpenAI only?",c6ff9083c0
"If OpenAI is blocked where I live, what are the easiest alternatives I can plug into the course without rewriting everything?",c6ff9083c0
"Do providers like Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral work with the same code, and what needs to change?",c6ff9083c0
"Can I run the model locally with Ollama, vLLM, or LM Studio instead of calling an external API?",c6ff9083c0
"Is there a list of recommended non-OpenAI models or tools for this course, especially if I want open-source or self-hosted options?",c6ff9083c0
How can I stop OpenAI 429 errors when I run notebook cells that call the API a lot?,8e21752415
What should I change in my code to deal with free-tier OpenAI rate limits without crashing?,8e21752415
Is there a good way to make retries handle temporary 429s for OpenAI requests automatically?,8e21752415
How many workers should I use in a thread pool so I don’t hit per-minute limits as fast?,8e21752415
Should I cache embeddings and LLM outputs somewhere so rerunning the notebook doesn’t call the API again?,8e21752415
"In agentic RAG, what exactly counts as a tool or function the model can use?",c296ea5a21
"Are tools and functions different things here, or just two names for the same idea?",c296ea5a21
When does an LLM decide to call a tool instead of answering directly?,c296ea5a21
"Can you give a few examples of tool calls in a RAG pipeline, like search or API use?",c296ea5a21
How is tool use in agentic RAG different from the fixed retrieval step in normal RAG?,c296ea5a21
Are there any free models I can use for tool calling in this project?,0d74a3616f
"Which Groq models support tool use without paying, like Deepseek R1 or Llama 4?",0d74a3616f
"Besides Groq, what other providers have function calling or tool use support?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change my code?",0d74a3616f
Where can I read the docs for Groq tool use and see how it works?,0d74a3616f
Why am I getting `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with a non-OpenAI model?,9e7b3f0c25
"Is `response.output` only supposed to work with OpenAI, or can I use it with Mistral, Groq, Gemini, and similar providers too?",9e7b3f0c25
What should I use instead of the Responses API if my model provider doesn’t support it?,9e7b3f0c25
How do I read the assistant text from a chat-completions response when I’m not using OpenAI’s Responses API?,9e7b3f0c25
Do I need to change my tools schema when switching from OpenAI Responses to a provider’s chat-completions API?,9e7b3f0c25
"Why am I getting Error code 400 in Azure OpenAI saying tools[0].function is missing, and what should I change in my weather tool JSON?",b9c7c6bb34
What is the correct format for the get_weather_tool definition when using Azure OpenAI function calling?,b9c7c6bb34
My request fails with a missing required parameter for tools[0].function — how do I fix the tool schema?,b9c7c6bb34
Can you show the proper JSON structure for a weather function tool so Azure OpenAI accepts it?,b9c7c6bb34
I keep seeing an invalid_request_error about tools[0].function; what does the updated get_weather_tool object look like?,b9c7c6bb34
Why do I get a 404 with toyaikit when I try Groq or another non-OpenAI provider?,0224d980b3
How can I switch to the chat.completions version in toyaikit so Groq works?,0224d980b3
"Can I use toyaikit with Anthropic instead of OpenAI, and what runner/client should I use?",0224d980b3
What’s the difference between runner.loop() and runner.run() in toyaikit?,0224d980b3
Do I need to worry about the UnknownModelWarning or using an old model name with Groq/Anthropic?,0224d980b3
Where do I actually get the Module 1 homework questions for this course?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page too?",53f15299b6
Can you point me to the 2026 Module 1 homework instructions link?,53f15299b6
Where are the cohort materials for Module 1 in the llm-zoomcamp repo?,53f15299b6
"Do I need to check GitHub for extra homework details, or is the platform enough?",53f15299b6
"Why am I getting an empty list after filtering my query in the homework, and could this be because the index was created wrong?",83da208a64
"For HW Q3, do I need to set up the index settings before I load any data into Elasticsearch?",83da208a64
My filters and query work but still return nothing — what step am I probably missing when indexing the data?,83da208a64
Is an empty result from my homework search usually caused by adding documents before the index settings are in place?,83da208a64
What should I check first if my filtered query keeps returning an empty list in the module 1 homework?,83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create(), and how do I fix it?",cfb07a27d5
"Do I need to set max_output_tokens in responses.create() for the Module 1 homework, and what value should I use?",cfb07a27d5
"In rag_helper.py, where should I add the token limit so OpenRouter stops rejecting my request?",cfb07a27d5
"For the ToyAIKit question in Module 1, how can I pass max_output_tokens through OpenAIClient?",cfb07a27d5
"If I already set everything up, what else should I check when OpenRouter still gives me a 402 instead of a normal quota error?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
Should I build the search index with the split chunks or with the full documents in homework 1?,b4300adeb1
"When setting up RAG, why do we use `chunks` for `index.fit()` and not `documents`?",b4300adeb1
Does the RAG pipeline retrieve whole documents or only the chunked pieces for the prompt?,b4300adeb1
How does using chunks in the index reduce the amount of context sent to the model?,b4300adeb1
"For the homework, do I need my answer to exactly match one of the multiple-choice options?",5e4ca64cb5
"If my numeric result is a bit different from the listed choices, should I pick the nearest one?",5e4ca64cb5
What usually causes small mismatches between my homework answer and the provided options?,5e4ca64cb5
"If my answer is way off from every option, what should I check first?",5e4ca64cb5
Where can I find the general instructions about homework submission and logistics?,5e4ca64cb5
Where exactly should I check the homework details if the questions on the course site are confusing?,7d3a2e3505
"For Module 1, do I need to read the GitHub homework file first or is the platform page enough?",7d3a2e3505
Why does the homework seem different from the lesson — is that normal for this module?,7d3a2e3505
"If I still don’t understand the homework after reading the instructions, what’s the best way to ask for help?",7d3a2e3505
"When I post a question in Slack, should I paste the output as text or can I just upload a screenshot?",7d3a2e3505
"For the Module 1 homework, how should I count tokens if I’m using a different LLM provider?",fe8fed31e6
"If my API response has a usage field, which token number should I read for the homework?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face models?",fe8fed31e6
What should I do if my provider doesn’t return token usage at all?,fe8fed31e6
"For multiple-choice questions in the homework, what’s the right way to pick the token-count option?",fe8fed31e6
"Why does the homework checker give a non-200 error on my repo link, and what should I change so it can fetch it?",bcdb8740ce
Could my GitHub repo being private be the reason my submission gets rejected with 404 or 500?,bcdb8740ce
Do I need to remove the `.git` part from the repository URL when I submit the homework?,bcdb8740ce
How can I tell if the URL I’m sending is actually accessible to the checker before I resubmit?,bcdb8740ce
What are the common mistakes that make the homework submission URL return a bad status instead of 200?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we turn text into numbers?",69430a79a8
How do embeddings keep the meaning and context of data instead of just changing it into random values?,69430a79a8
Why should similar inputs produce close vectors when using an embedding model?,69430a79a8
How does having nearby numeric representations help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How do I get rid of the warning about model ""multi-qa-mpnet-base-dot-v1"" being made on sentence transformers v3.0.0 beta?",aa3f597424
What should I install to suppress the sentence-transformers warning in Module 2 vector search?,aa3f597424
Is upgrading sentence-transformers to 3.0.0 enough to remove that model warning?,aa3f597424
"What command do I run to fix the ""multi-qa-mpnet-base-dot-v1"" warning?",aa3f597424
"Why am I seeing a warning about sentence-transformers version beta, and how can I stop it?",aa3f597424
"Why did the lesson just use `.dot(...)` for similarity, but the homework makes us normalize vectors first?",92cd22cada
"If cosine similarity needs normalization, why was dot product enough in the class example?",92cd22cada
"Are OpenAI embeddings already unit-length, so dot product works like cosine similarity there?",92cd22cada
Why do TF-IDF plus SVD vectors in the homework need extra normalization before comparing them?,92cd22cada
"When does dot product equal cosine similarity in vector search, and when does it not?",92cd22cada
"For vector search, do I need to embed just the question, just the answer, or both together?",5c4a8d2e60
Which works better in practice for retrieval: embedding only the answer text or only the question text?,5c4a8d2e60
"Is it worth combining the question and answer into one embedding, or is that overkill?",5c4a8d2e60
How should I choose between different embedding setups for my vector search dataset?,5c4a8d2e60
"Does the course recommend one best way to embed FAQ data, or is it something I have to test myself?",5c4a8d2e60
How do I understand cosine similarity in vector search?,db78580409
Why do people use cosine similarity for comparing text documents?,db78580409
"What does a cosine similarity score tell us, and what do values like 1, 0, or -1 mean?",db78580409
How is cosine similarity calculated between two vectors in NLP?,db78580409
"Can cosine similarity be used with word counts or TF-IDF vectors, and why?",db78580409
Why does cosine similarity end up being just a dot product once the vectors are normalized?,95feb4e75b
"If the embeddings are unit vectors, why can we use matrix multiplication to get cosine similarity scores?",95feb4e75b
What changes in cosine similarity when both the docs and the query are normalized first?,95feb4e75b
How does normalizing vectors let us compare a query against all embeddings with one matrix multiply?,95feb4e75b
Why is cosine similarity computed so efficiently in vector search after normalization?,95feb4e75b
"For Module 2, do I have to create a whole new GitHub repository, or is making another codespace enough?",1e829a8c6f
Why does the course recommend a separate codespace for vector search instead of using the one from Module 1?,1e829a8c6f
"If I finish Module 2, can I just delete the codespace without losing my work, or do I need to commit everything first?",1e829a8c6f
"Is a codespace basically the same as a local environment, or is it just a workspace created from my repo?",1e829a8c6f
Can I keep using my existing repo for Module 2 and only spin up a fresh codespace for the new dependencies?,1e829a8c6f
Why does download.py stay stuck at 0% when it tries to get model.onnx from HuggingFace?,29b69fbe0b
What should I do if the model download from HuggingFace never moves past 0%?,29b69fbe0b
Can I manually grab model.onnx from the browser instead of waiting for download.py?,29b69fbe0b
Where do I need to place the downloaded model.onnx so the script finds it?,29b69fbe0b
Will download.py skip the HuggingFace download if the file is already saved locally?,29b69fbe0b
"Why do the matrix dot product and the Python for-loop version of vector search not match exactly, even though they should be the same math?",e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to return `False` when comparing vector search scores from `X.dot(v_query)` and a loop?",e889793af9
Why do two ways of computing dot products give tiny differences in the last decimals?,e889793af9
Does the difference between BLAS-based vector search and a manual loop mean one of them is wrong?,e889793af9
What’s the best way to compare vector search scores if exact equality fails because of floating point precision?,e889793af9
Why am I seeing IndexError: list index out of range when I try to get the top chunk from my vector search results?,1a7b27c4df
"Could this error happen if my embeddings and chunks don’t line up, and how do I make sure they match?",1a7b27c4df
What’s the right way to build embeddings from my chunk list so I don’t get an out-of-range error later?,1a7b27c4df
I keep getting an error when accessing the best chunk — do I need the embedding rows to equal the number of chunks?,1a7b27c4df
How do I avoid IndexError in a chunk ranking step when using encode_batch on my document pieces?,1a7b27c4df
"For Module 2 homework Q2, why does my cosine similarity come out as a value that isn't listed in the multiple-choice answers?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the homework embedding, or is there a different model I should load instead?",eaa17a9dc6
"Could the issue be that I'm embedding the wrong thing in Q2, like the filename or full record instead of the page content?",eaa17a9dc6
"If I use the right embedder but my cosine score is still a little off, should I worry about normalization or just choose the nearest option?",eaa17a9dc6
"Is the homework cosine similarity supposed to match the query vector from Q1 exactly, and what setup usually causes a mismatch?",eaa17a9dc6
How do I set up the Gemini API key for Kestra so the flows can actually use it?,3860e5fe8b
Do I need to export both a normal Gemini key and a SECRET_ version before starting Kestra?,3860e5fe8b
What’s the right way to add OpenAI and Tavily keys for the orchestration exercises?,3860e5fe8b
Why isn’t Kestra picking up my API secrets even though I exported them in the shell?,3860e5fe8b
"In a Kestra flow, how do I reference a secret variable like the Gemini key without exposing the real value?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help create Kestra flows, and what should I check first?",04440cab11
"I set up the Gemini key for Kestra, but the Copilot still refuses to answer — am I using the wrong env var?",04440cab11
How do I restart Kestra after adding the Gemini API key so the Copilot actually picks it up?,04440cab11
What’s the difference between `GEMINI_API_KEY` and `SECRET_GEMINI_API_KEY` in the Kestra flows?,04440cab11
"Could this Copilot error be caused by a bad key or Gemini quota limits, and how can I tell?",04440cab11
Why does Kestra say my Gemini key is missing or invalid even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a base64 encode issue make the secret fail in my Kestra flow?,c8ca21af33
"Do I need to restart the Kestra container after exporting the API key, or should it pick up the change automatically?",c8ca21af33
"When using a secret in a flow, should I reference GEMINI_API_KEY or SECRET_GEMINI_API_KEY in the template?",c8ca21af33
"Is there a better way to load the key for Kestra, like using a .env file instead of exporting it in the shell?",c8ca21af33
Why would I use an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
What does Kestra add to an AI workflow that a simple script or notebook doesn’t have?,193612db63
"In this module, is Kestra mainly for orchestration, or is it also used to show AI features like copilots and agents?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers inside a Kestra flow without rewriting the whole thing?",193612db63
"Why is the course moving from notebook experiments to production-style workflows with scheduling, retries, and monitoring?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only for Module 3?",cce328db64
"For the final project, can I skip an orchestrator and just write a Python script for ingestion?",cce328db64
"If I already use Airflow or Prefect, can I still get full project points without Kestra?",cce328db64
Why does the course teach Kestra instead of other workflow tools like Dagster or Airflow?,cce328db64
"Can Kestra AI flows work with providers like OpenAI, Anthropic, or Gemini?",cce328db64
"Can I use Kestra with Groq, Ollama, or even a local model instead of Gemini?",f442efe5b4
Which AI services work in Kestra if I don’t want to stick to one vendor?,f442efe5b4
How do I switch a Kestra flow from Gemini to another provider without rewriting the whole thing?,f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the provider-specific ones?,f442efe5b4
"For OpenAI-compatible tools like Groq or xAI, do I just change the base URL and keep using the OpenAI plugin?",f442efe5b4
Is there a way to build a Kestra flow without editing YAML by hand?,bfe5502c30
Can I make a Kestra workflow just by describing it in plain English?,bfe5502c30
"Does Kestra have some kind of no-code editor, or do I always need to write code?",bfe5502c30
Can I generate and send Kestra flows from my own editor instead of using the UI?,bfe5502c30
